Year,AnnualQ_acreft,Annual_sediment_tons,AnnualQ_MCM,site
1983,58952,534035,72.71611292,Campus
1984,29425,64455,36.29514898,Campus
1985,26987,32236,33.28792474,Campus
1986,29746,37760,36.69109606,Campus
1987,21423,20060,26.42484202,Campus
1988,22089,34186,27.2463397,Campus
1989,17359,19810,21.41197931,Campus
1990,19154,24855,23.62607591,Campus
1991,28935,83924,35.69074378,Campus
1992,37186,173212,45.86818725,Campus
1993,62510,355208,77.10483476,Campus
1994,20000,33027,24.66959999,Campus
1995,61182,347579,75.46677332,Campus
1996,23501,49438,28.98801346,Campus
1997,33946,92181,41.87171206,Campus
1998,92345,611461,113.9057105,Campus
1999,17334,16439,21.38114231,Campus
2000,17780,28864,21.93127439,Campus
2001,27320,75686,33.69867358,Campus
2002,10610,5640,13.08722279,Campus
2003,30909,64740,38.1256333,Campus
2004,18690,30464,23.05374119,Campus
2005,75860,165810,93.57179275,Campus
2006,20150,9291,24.85462199,Campus
2007,9000,976,11.10131999,Campus
2008,22220,25080,27.40792558,Campus
2009,18710,16518,23.07841079,Campus
2010,35490,53434,43.77620517,Campus
2011,56930,138966,70.22201636,Campus
2012,13480,4211,16.62731039,Campus
2013,9620,1906,11.86607759,Campus
2014,9470,6362,11.68105559,Campus
2015,12500,6100,15.41849999,Campus
2016,11330,6161,13.97532839,Campus
2017,31560,33910,38.92862878,Campus
2018,5560,1224,6.858148796,Campus
1983,16504,158651,20.35735391,Culver
1984,5657,24599,6.977796356,Culver
1985,5879,27904,7.251628916,Culver
1986,6654,,8.207575915,Culver
1987,,,,Culver
1988,3751,12408,4.626783477,Culver
1989,3666,13163,4.521937677,Culver
1990,,,,Culver
1991,,,,Culver
1992,11676,103516,14.40211247,Culver
1993,22140,228309,27.30924718,Culver
1994,4190,12705,5.168281197,Culver
1995,,,,Culver
1996,6323,32064,7.799294035,Culver
1997,10240,68266,12.63083519,Culver
1998,35555,404085,43.85638137,Culver
1999,5499,11957,6.782906516,Culver
2000,6960,26205,8.585020795,Culver
2001,10280,49592,12.68017439,Culver
2002,2630,3354,3.244052398,Culver
2003,9230,19039,11.38502039,Culver
2004,7020,18065,8.659029595,Culver
2005,27790,91862,34.27840918,Culver
2006,5640,6919,6.956827196,Culver
2007,2220,519,2.738325598,Culver
2008,5730,15290,7.067840396,Culver
2009,5940,13025,7.326871196,Culver
2010,9710,36700,11.97709079,Culver
2011,14970,87148,18.46519559,Culver
2012,2780,3166,3.429074398,Culver
2013,2420,1947,2.985021598,Culver
2014,1360,2954,1.677532799,Culver
2015,2470,4243,3.046695598,Culver
2016,2580,4284,3.182378398,Culver
2017,11580,31627,14.28369839,Culver
2018,1270,2161,1.566519599,Culver
1983,24323,178507,30.00193402,Peters
1984,15774,26897,19.45691351,Peters
1985,11831,18331,14.59330187,Peters
1986,12453,,15.36052643,Peters
1987,12112,9800,14.93990975,Peters
1988,10797,21037,13.31788355,Peters
1989,10489,16264,12.93797171,Peters
1990,,,,Peters
1991,,,,Peters
1992,14697,47845,18.12845555,Peters
1993,29170,116283,35.98061158,Peters
1994,9910,15075,12.22378679,Peters
1995,19493,82633,24.04422563,Peters
1996,8453,8706,10.42660643,Peters
1997,13392,30529,16.51876415,Peters
1998,34072,179579,42.02713054,Peters
1999,8703,6908,10.73497643,Peters
2000,7400,13639,9.127751995,Peters
2001,11180,33301,13.79030639,Peters
2002,5520,1392,6.808809596,Peters
2003,13910,31835,17.15770679,Peters
2004,7380,15265,9.103082395,Peters
2005,27040,41108,33.35329918,Peters
2006,7510,2935,9.263434795,Peters
2007,4430,307,5.464316397,Peters
2008,9510,12245,11.73039479,Peters
2009,10460,7951,12.90220079,Peters
2010,16570,14877,20.43876359,Peters
2011,22740,18463,28.04933518,Peters
2012,11410,3992,14.07400679,Peters
2013,9770,2379,12.05109959,Peters
2014,6140,2403,7.573567196,Peters
2015,7850,2993,9.682817994,Peters
2016,7760,4039,9.571804794,Peters
2017,16130,10181,19.89603239,Peters
2018,2850,405,3.515417998,Peters
