StormID,metric.num,metric.Weighted
1,1,3.2
1,2,NA
1,3,2.5
1,4,1.4
1,5,1
1,6,2.05
1,7,2.5
1,8,3.65
10,1,2.5
10,2,NA
10,3,1
10,4,1.7
10,5,1
10,6,1
10,7,3.2
10,8,2.15
11,1,2.8
11,2,NA
11,3,1.7
11,4,1.4
11,5,1
11,6,2.4
11,7,1
11,8,2.4
12,1,3.2
12,2,1
12,3,1.75
12,4,3.3
12,5,3.2
12,6,1.35
12,7,2.05
12,8,2.5
13,1,1
13,2,1
13,3,2.05
13,4,3.3
13,5,1.35
13,6,2.5
13,7,2.4
13,8,2.9
14,1,1.4
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
15,1,2.05
15,2,1.75
15,3,1.35
15,4,NA
15,5,1.4
15,6,1.35
15,7,1.35
16,1,1
16,2,2.5
16,3,1.7
16,4,1
16,5,2.05
16,6,1
16,7,1
17,1,1.35
17,2,1.4
17,3,2.95
17,4,2.55
17,5,2.15
17,6,3.3
18,1,2.5
18,2,2.5
18,3,2.9
18,4,3.3
18,5,1
18,6,2.5
18,7,2.5
18,8,2.85
19,1,2.2
19,2,2.05
19,3,1.4
19,4,2.6
19,5,NA
19,6,2.15
19,7,1
19,8,1.4
2,1,1.4
2,2,NA
2,3,1
2,4,2.9
2,5,1
2,6,2.15
2,7,2.15
2,8,3.3
20,1,3.6
20,2,1.4
20,3,2.45
20,4,1
20,5,2.8
21,1,2.85
21,2,3.6
21,3,1
21,4,1
21,5,1.35
21,6,2.9
22,1,2.9
22,2,2.05
22,3,1.35
22,4,1.35
22,5,1.35
22,6,3.3
23,1,1
23,2,1
23,3,1
23,4,NA
23,5,1
23,6,1
23,7,1
24,1,1
24,2,NA
24,3,2.2
24,4,1
24,5,1.4
24,6,1
24,7,2.6
25,1,2.55
25,2,NA
25,3,3.25
25,4,3.2
25,5,4
25,6,2.1
25,7,1.35
25,8,2.1
26,1,1.8
26,2,1
26,3,3.6
26,4,1
26,5,1
26,6,1.4
26,7,2.05
26,8,3.65
27,1,1
27,2,1
27,3,1
27,4,1
27,5,NA
27,6,1
27,7,1
28,1,2.9
28,2,1
28,3,1
28,4,1
28,5,1
28,6,3.2
29,1,1
29,2,1
29,3,3.3
29,4,1.7
29,5,1.8
29,6,2.05
29,7,1.35
3,1,2.15
3,2,NA
3,3,1
3,4,3.3
3,5,2.9
3,6,1
30,1,3.25
30,2,1
30,3,1.7
30,4,2.15
30,5,2.9
30,6,3.6
31,1,1
31,2,2.2
31,3,1
31,4,1.4
31,5,1
31,6,2.55
32,1,1
32,2,NA
32,3,1
32,4,1
32,5,1
32,6,1
32,7,1
33,1,1.8
33,2,2.15
33,3,2.2
33,4,1
33,5,2.5
34,1,1
34,2,1
34,3,2.5
34,4,1
34,5,2.5
35,1,1
35,2,NA
35,3,2.05
35,4,1
35,5,1.75
35,6,2.05
36,1,1
36,2,1
36,3,1.7
36,4,1.4
36,5,2.05
36,6,2.5
37,1,1.4
37,2,1
37,3,1.7
37,4,1
37,5,2.05
37,6,1.35
38,1,1
38,2,1
38,3,1
38,4,1
38,5,1
38,6,1
38,7,2.8
39,1,1.4
39,2,2.85
4,1,2.5
4,2,NA
4,3,2.1
4,4,1
4,5,1.8
4,6,1
4,7,2.4
40,1,2.55
40,2,NA
40,3,1
40,4,2.1
40,5,2.55
40,6,3.25
41,1,1.4
41,2,NA
41,3,3.65
41,4,1
41,5,3.6
41,6,2.8
41,7,4
42,1,1
42,2,2.1
42,3,2.05
42,4,2.4
43,1,2.9
43,2,2.5
43,3,1.7
44,1,2.05
44,2,1
44,3,2.15
44,4,1
44,5,3.3
44,6,2.45
45,1,1.35
45,2,NA
45,3,1
45,4,NA
45,5,1.8
45,6,2.55
45,7,2.85
46,1,2.85
46,2,NA
46,3,1
46,4,3.3
46,5,2.9
46,6,3.2
47,1,1
47,2,NA
47,3,1
47,4,1
47,5,1.7
47,6,2.4
48,1,1
48,2,NA
48,3,2.4
48,4,NA
48,5,1.75
48,6,2.05
48,7,1.7
5,1,1
5,2,NA
5,3,2.55
5,4,1
5,5,1.75
5,6,2.5
5,7,2.9
6,1,3.65
6,2,NA
6,3,1
6,4,1.4
6,5,2.2
6,6,1.75
6,7,1
6,8,2.5
7,1,1
7,2,NA
7,3,2.55
7,4,1
7,5,NA
7,6,1
7,7,1
7,8,1.4
8,1,1
8,2,NA
8,3,1
8,4,NA
8,5,1.4
8,6,1.35
8,7,2.2
9,1,2.05
9,2,NA
9,3,2.85
9,4,1
9,5,1.7
9,6,1.35
9,7,2.5
